"transcript","gene","Gene"
"Peer2.0.1.fasta024483-RA","CAB39"," Calcium-binding protein 39 (Homo sapiens)"
"Peer2.0.1.fasta024482-RA","ITM2C"," Integral membrane protein 2C (Bos taurus)"
"Peer2.0.1.fasta024492-RA","ANKRD54"," Ankyrin repeat domain-containing protein 54 (Homo sapiens)"
"Peer2.0.1.fasta024490-RA","SP140"," Nuclear body protein SP140 (Homo sapiens)"
"Peer2.0.1.fasta024491-RA","CSPRS"," Component of Sp100-rs (Mus musculus)"
"Peer2.0.1.fasta024493-RA","SLC16A14"," Monocarboxylate transporter 14 (Mus musculus)"
"Peer2.0.1.fasta024494-RA","HOXA4"," Homeobox protein Hox-A4 (Mus musculus)"
"Peer2.0.1.fasta024489-RA","SP110"," Sp110 nuclear body protein (Rattus norvegicus)"
"Peer2.0.1.fasta024486-RA","SP140"," Nuclear body protein SP140 (Homo sapiens)"
"Peer2.0.1.fasta024488-RA","SP110"," Sp110 nuclear body protein (Rattus norvegicus)"
"Peer2.0.1.fasta024487-RA","SP140"," Nuclear body protein SP140 (Homo sapiens)"
"Peer2.0.1.fasta024485-RA","SP140L"," Nuclear body protein SP140-like protein (Homo sapiens)"
"Peer2.0.1.fasta024496-RA","TRIP12"," E3 ubiquitin-protein ligase TRIP12 (Rattus norvegicus)"
"Peer2.0.1.fasta024495-RA","TRIP12"," E3 ubiquitin-protein ligase TRIP12 (Rattus norvegicus)"
"Peer2.0.1.fasta024497-RA","WDFY4"," WD repeat- and FYVE domain-containing protein 4 (Homo sapiens)"
"Peer2.0.1.fasta024498-RA","POU5F1"," POU domain%2C class 5%2C transcription factor 1 (Mus musculus)"
"Peer2.0.1.fasta024499-RA","PID1"," PTB-containing%2C cubilin and LRP1-interacting protein (Homo sapiens)"
"Peer2.0.1.fasta024502-RA","TAP1"," Antigen peptide transporter 1 (Homo sapiens)"
"Peer2.0.1.fasta024500-RA","GAPDH"," Glyceraldehyde-3-phosphate dehydrogenase (Pongo abelii)"
"Peer2.0.1.fasta024501-RA","COX15"," Cytochrome c oxidase assembly protein COX15 homolog (Mus musculus)"
"Peer2.0.1.fasta028830-RA","SULT1A1"," Sulfotransferase 1A1 (Rattus norvegicus)"
"Peer2.0.1.fasta028186-RA","ZNF385C"," Zinc finger protein 385C (Mus musculus)"
"Peer2.0.1.fasta028620-RA","PGAP1"," GPI inositol-deacylase (Homo sapiens)"
"Peer2.0.1.fasta028237-RA","EIF4A1"," Eukaryotic initiation factor 4A-I (Pongo abelii)"
"Peer2.0.1.fasta027590-RA","UBQLN2"," Ubiquilin-2 (Homo sapiens)"
"Peer2.0.1.fasta027591-RA","ARPC1A"," Actin-related protein 2/3 complex subunit 1A (Bos taurus)"
"Peer2.0.1.fasta027592-RA","KCTD16"," BTB/POZ domain-containing protein KCTD16 (Homo sapiens)"
"Peer2.0.1.fasta027548-RA","MRPS12"," 28S ribosomal protein S12%2C mitochondrial (Mus musculus)"
"Peer2.0.1.fasta027542-RA","HNRNPL"," Heterogeneous nuclear ribonucleoprotein L (Homo sapiens)"
"Peer2.0.1.fasta027543-RA","RINL"," Ras and Rab interactor-like protein (Mus musculus)"
"Peer2.0.1.fasta027540-RA","LGALS4"," Galectin-4 (Rattus norvegicus)"
"Peer2.0.1.fasta027546-RA","NFKBIB"," NF-kappa-B inhibitor beta (Rattus norvegicus)"
"Peer2.0.1.fasta027544-RA","SIRT2"," NAD-dependent protein deacetylase sirtuin-2 (Mus musculus)"
"Peer2.0.1.fasta027541-RA","ECH1"," Delta(3%2C5)-Delta(2%2C4)-dienoyl-CoA isomerase%2C mitochondrial (Mus musculus)"
"Peer2.0.1.fasta027547-RA","SARS2"," Serine--tRNA ligase%2C mitochondrial (Mus musculus)"
"Peer2.0.1.fasta027545-RA","SIRT2"," NAD-dependent protein deacetylase sirtuin-2 (Mus musculus)"
"Peer2.0.1.fasta027549-RA","ARPC1A"," Actin-related protein 2/3 complex subunit 1A (Bos taurus)"
"Peer2.0.1.fasta027550-RA","KCTD16"," BTB/POZ domain-containing protein KCTD16 (Homo sapiens)"
"Peer2.0.1.fasta028619-RA","DDX31"," Probable ATP-dependent RNA helicase DDX31 (Mus musculus)"
"Peer2.0.1.fasta028817-RA","CDAN1"," Codanin-1 (Mus musculus)"
"Peer2.0.1.fasta028200-RA","COX6A1"," Cytochrome c oxidase subunit 6A1%2C mitochondrial (Homo sapiens)"
"Peer2.0.1.fasta028202-RA","DLG5"," Disks large homolog 5 (Mus musculus)"
"Peer2.0.1.fasta028201-RA","OR2L13"," Olfactory receptor 2L13 (Homo sapiens)"
"Peer2.0.1.fasta028397-RA","MTMR12"," Myotubularin-related protein 12 (Rattus norvegicus)"
"Peer2.0.1.fasta028204-RA","ZNF430"," Zinc finger protein 430 (Homo sapiens)"
"Peer2.0.1.fasta028210-RA","ZNF726"," Zinc finger protein 726 (Homo sapiens)"
"Peer2.0.1.fasta028831-RA","TRIM43B"," Tripartite motif-containing protein 43B (Homo sapiens)"
"Peer2.0.1.fasta019380-RA","KLF15"," Krueppel-like factor 15 (Mus musculus)"
"Peer2.0.1.fasta019381-RA","SLC26A3"," Chloride anion exchanger (Rattus norvegicus)"
"Peer2.0.1.fasta019382-RA","CBLL1"," E3 ubiquitin-protein ligase Hakai (Mus musculus)"
"Peer2.0.1.fasta019384-RA","UQCR11"," Cytochrome b-c1 complex subunit 10 (Homo sapiens)"
"Peer2.0.1.fasta019383-RA","FAT2"," Protocadherin Fat 2 (Mus musculus)"
"Peer2.0.1.fasta019379-RA","DLD"," Dihydrolipoyl dehydrogenase%2C mitochondrial (Mus musculus)"
"Peer2.0.1.fasta019378-RA","LAMB1"," Laminin subunit beta-1 (Homo sapiens)"
"Peer2.0.1.fasta019385-RA","SLC26A4"," Pendrin (Mus musculus)"
"Peer2.0.1.fasta019389-RA","GPR22"," G-protein coupled receptor 22 (Homo sapiens)"
"Peer2.0.1.fasta019387-RA","DUS4L"," tRNA-dihydrouridine(20a/20b) synthase [NAD(P)+]-like (Mus musculus)"
"Peer2.0.1.fasta019386-RA","BCAP29"," B-cell receptor-associated protein 29 (Pongo abelii)"
"Peer2.0.1.fasta019388-RA","COG5"," Conserved oligomeric Golgi complex subunit 5 (Mus musculus)"
"Peer2.0.1.fasta019390-RA","COG5"," Conserved oligomeric Golgi complex subunit 5 (Mus musculus)"
"Peer2.0.1.fasta019393-RA","PIK3CG"," Phosphatidylinositol 4%2C5-bisphosphate 3-kinase catalytic subunit gamma isoform (Sus scrofa)"
"Peer2.0.1.fasta019391-RA","HBP1"," HMG box-containing protein 1 (Mus musculus)"
"Peer2.0.1.fasta019392-RA","PRKAR2B"," cAMP-dependent protein kinase type II-beta regulatory subunit (Bos taurus)"
"Peer2.0.1.fasta019394-RA","CCDC71L"," Coiled-coil domain-containing protein 71L (Homo sapiens)"
"Peer2.0.1.fasta019395-RA","GNL3"," Guanine nucleotide-binding protein-like 3 (Homo sapiens)"
"Peer2.0.1.fasta019397-RA","SYPL1"," Synaptophysin-like protein 1 (Mus musculus)"
"Peer2.0.1.fasta019396-RA","NAMPT"," Nicotinamide phosphoribosyltransferase (Sus scrofa)"
"Peer2.0.1.fasta019398-RA","CDHR3"," Cadherin-related family member 3 (Mus musculus)"
"Peer2.0.1.fasta019403-RA","ATXN7L1"," Ataxin-7-like protein 1 (Mus musculus)"
"Peer2.0.1.fasta019399-RA","CDHR3"," Cadherin-related family member 3 (Mus musculus)"
"Peer2.0.1.fasta019402-RA","TRA2B"," Transformer-2 protein homolog beta (Rattus norvegicus)"
"Peer2.0.1.fasta019400-RA","MTNR1B"," Melatonin receptor type 1B (Homo sapiens)"
"Peer2.0.1.fasta019401-RA",NA,NA
"Peer2.0.1.fasta019409-RA","POLR1F"," DNA-directed RNA polymerase I subunit RPA43 (Mus musculus)"
"Peer2.0.1.fasta019405-RA","FCF1"," rRNA-processing protein FCF1 homolog (Mus musculus)"
"Peer2.0.1.fasta019407-RA","FCF1"," rRNA-processing protein FCF1 homolog (Mus musculus)"
"Peer2.0.1.fasta019406-RA","FCF1"," rRNA-processing protein FCF1 homolog (Mus musculus)"
"Peer2.0.1.fasta019408-RA","FCF1"," rRNA-processing protein FCF1 homolog (Mus musculus)"
"Peer2.0.1.fasta019410-RA","FERD3L"," Fer3-like protein (Mus musculus)"
"Peer2.0.1.fasta019411-RA","TWIST1"," Twist-related protein 1 (Cebus capucinus)"
"Peer2.0.1.fasta019404-RA","ATXN7L1"," Ataxin-7-like protein 1 (Homo sapiens)"
"Peer2.0.1.fasta019412-RA","HDAC9"," Histone deacetylase 9 (Homo sapiens)"
"Peer2.0.1.fasta019413-RA","TSHZ2"," Teashirt homolog 2 (Sus scrofa)"
"Peer2.0.1.fasta019414-RA","PRPS1"," Ribose-phosphate pyrophosphokinase 1 (Bos taurus)"
"Peer2.0.1.fasta019415-RA","SNX13"," Sorting nexin-13 (Homo sapiens)"
"Peer2.0.1.fasta019416-RA","FCF1"," rRNA-processing protein FCF1 homolog (Mus musculus)"
"Peer2.0.1.fasta019417-RA","FCF1"," rRNA-processing protein FCF1 homolog (Mus musculus)"
"Peer2.0.1.fasta019419-RA","AHR"," Aryl hydrocarbon receptor (Rattus norvegicus)"
"Peer2.0.1.fasta019418-RA","HNRNPF"," Heterogeneous nuclear ribonucleoprotein F (Macaca fascicularis)"
"Peer2.0.1.fasta019420-RA","AGR3"," Anterior gradient protein 3 (Homo sapiens)"
"Peer2.0.1.fasta019422-RA","TSPAN13"," Tetraspanin-13 (Rattus norvegicus)"
"Peer2.0.1.fasta019421-RA","AGR2"," Anterior gradient protein 2 homolog (Pongo abelii)"
"Peer2.0.1.fasta019426-RA","ANKMY2"," Ankyrin repeat and MYND domain-containing protein 2 (Mus musculus)"
"Peer2.0.1.fasta019427-RA","AGR2"," Anterior gradient protein 2 homolog (Pongo abelii)"
"Peer2.0.1.fasta019428-RA","LRRC72"," Leucine-rich repeat-containing protein 72 (Homo sapiens)"
"Peer2.0.1.fasta019425-RA","BZW2"," Basic leucine zipper and W2 domain-containing protein 2 (Macaca fascicularis)"
"Peer2.0.1.fasta019424-RA","CFAP300"," Cilia- and flagella-associated protein 300 (Rattus norvegicus)"
"Peer2.0.1.fasta019423-RA","VAV2"," Guanine nucleotide exchange factor VAV2 (Homo sapiens)"
"Peer2.0.1.fasta019430-RA","SOSTDC1"," Sclerostin domain-containing protein 1 (Pongo abelii)"
"Peer2.0.1.fasta019429-RA","TGFBR1"," TGF-beta receptor type-1 (Homo sapiens)"
"Peer2.0.1.fasta019431-RA","CRPPA"," D-ribitol-5-phosphate cytidylyltransferase (Mus musculus)"
"Peer2.0.1.fasta019432-RA","CRPPA"," D-ribitol-5-phosphate cytidylyltransferase (Mus musculus)"
"Peer2.0.1.fasta019433-RA","RPS6"," 40S ribosomal protein S6 (Rattus norvegicus)"
"Peer2.0.1.fasta019434-RA","MEOX2"," Homeobox protein MOX-2 (Homo sapiens)"
"Peer2.0.1.fasta019435-RA","MEOX2"," Homeobox protein MOX-2 (Homo sapiens)"
"Peer2.0.1.fasta019436-RA","AGMO"," Alkylglycerol monooxygenase (Rattus norvegicus)"
"Peer2.0.1.fasta019438-RA","DGKB"," Diacylglycerol kinase beta (Homo sapiens)"
"Peer2.0.1.fasta019437-RA","DGKB"," Diacylglycerol kinase beta (Homo sapiens)"
"Peer2.0.1.fasta019439-RA","DGKB"," Diacylglycerol kinase beta (Homo sapiens)"
"Peer2.0.1.fasta019440-RA","RPS2"," 40S ribosomal protein S2 (Mus musculus)"
"Peer2.0.1.fasta019441-RA","ETV1"," ETS translocation variant 1 (Mus musculus)"
"Peer2.0.1.fasta019442-RA","ETV1"," ETS translocation variant 1 (Mus musculus)"
"Peer2.0.1.fasta019443-RA","POLR1H"," DNA-directed RNA polymerase I subunit RPA12 (Homo sapiens)"
"Peer2.0.1.fasta019447-RA","CYP4X1"," Cytochrome P450 4X1 (Homo sapiens)"
"Peer2.0.1.fasta019448-RA","LSMEM1"," Leucine-rich single-pass membrane protein 1 (Homo sapiens)"
"Peer2.0.1.fasta019446-RA","AKAP8"," A-kinase anchor protein 8 (Homo sapiens)"
"Peer2.0.1.fasta019449-RA","IFRD1"," Interferon-related developmental regulator 1 (Homo sapiens)"
"Peer2.0.1.fasta019445-RA","SCIN"," Adseverin (Bos taurus)"
"Peer2.0.1.fasta019444-RA","ARL4A"," ADP-ribosylation factor-like protein 4A (Mus musculus)"
"Peer2.0.1.fasta019450-RA","ZNF277"," Zinc finger protein 277 (Homo sapiens)"
"Peer2.0.1.fasta019451-RA","ZNF277"," Zinc finger protein 277 (Homo sapiens)"
"Peer2.0.1.fasta019452-RA","DOCK4"," Dedicator of cytokinesis protein 4 (Mus musculus)"
"Peer2.0.1.fasta019453-RA","HNRNPA1"," Heterogeneous nuclear ribonucleoprotein A1 (Mus musculus)"
"Peer2.0.1.fasta019454-RA","HNRNPA3"," Heterogeneous nuclear ribonucleoprotein A3 (Rattus norvegicus)"
"Peer2.0.1.fasta019455-RA","NAA10"," N-alpha-acetyltransferase 10 (Bos taurus)"
"Peer2.0.1.fasta019456-RA","IMMP2L"," Mitochondrial inner membrane protease subunit 2 (Bos taurus)"
"Peer2.0.1.fasta019457-RA","LRRN3"," Leucine-rich repeat neuronal protein 3 (Rattus norvegicus)"
"Peer2.0.1.fasta019458-RA","FTL"," Ferritin light chain (Pongo abelii)"
"Peer2.0.1.fasta019459-RA","TGFBR1"," TGF-beta receptor type-1 (Homo sapiens)"
"Peer2.0.1.fasta019460-RA","TGFBR1"," TGF-beta receptor type-1 (Homo sapiens)"
"Peer2.0.1.fasta019461-RA","TGFBR1"," TGF-beta receptor type-1 (Homo sapiens)"
"Peer2.0.1.fasta019463-RA","RPLP0"," 60S acidic ribosomal protein P0 (Bos taurus)"
"Peer2.0.1.fasta019465-RA","CCT4"," T-complex protein 1 subunit delta (Bos taurus)"
"Peer2.0.1.fasta019464-RA","TGFBR1"," TGF-beta receptor type-1 (Homo sapiens)"
"Peer2.0.1.fasta019462-RA","RAD54B"," DNA repair and recombination protein RAD54B (Mus musculus)"
"Peer2.0.1.fasta019466-RA","RGS12"," Regulator of G-protein signaling 12 (Homo sapiens)"
"Peer2.0.1.fasta019467-RA","RGS12"," Regulator of G-protein signaling 12 (Homo sapiens)"
"Peer2.0.1.fasta019468-RA","RPL37A"," 60S ribosomal protein L37a (Homo sapiens)"
"Peer2.0.1.fasta019469-RA","DNAJB9"," DnaJ homolog subfamily B member 9 (Pongo abelii)"
"Peer2.0.1.fasta019470-RA","PNPLA8"," Calcium-independent phospholipase A2-gamma (Homo sapiens)"
"Peer2.0.1.fasta019473-RA","STXBP6"," Syntaxin-binding protein 6 (Mus musculus)"
"Peer2.0.1.fasta019474-RA","STXBP6"," Syntaxin-binding protein 6 (Mus musculus)"
"Peer2.0.1.fasta019471-RA","NRCAM"," Neuronal cell adhesion molecule (Mus musculus)"
"Peer2.0.1.fasta019472-RA","NRCAM"," Neuronal cell adhesion molecule (Rattus norvegicus)"
"Peer2.0.1.fasta019475-RA","CINP"," Cyclin-dependent kinase 2-interacting protein (Mus musculus)"
"Peer2.0.1.fasta019477-RA","TNFAIP8"," Tumor necrosis factor alpha-induced protein 8 (Bos taurus)"
"Peer2.0.1.fasta019476-RA","PIAS1"," E3 SUMO-protein ligase PIAS1 (Mus musculus)"
"Peer2.0.1.fasta019479-RA","NOVA1"," RNA-binding protein Nova-1 (Macaca fascicularis)"
"Peer2.0.1.fasta019478-RA","NOVA1"," RNA-binding protein Nova-1 (Mus musculus)"
"Peer2.0.1.fasta019481-RA","PEA15"," Astrocytic phosphoprotein PEA-15 (Homo sapiens)"
"Peer2.0.1.fasta019482-RA","HNRNPA1"," Heterogeneous nuclear ribonucleoprotein A1 (Mus musculus)"
"Peer2.0.1.fasta019480-RA","FOXG1"," Forkhead box protein G1 (Cebus capucinus)"
"Peer2.0.1.fasta019483-RA","PRKD1"," Serine/threonine-protein kinase D1 (Rattus norvegicus)"
"Peer2.0.1.fasta019485-RA","BLMH"," Bleomycin hydrolase (Mus musculus)"
"Peer2.0.1.fasta019484-RA","PRKD1"," Serine/threonine-protein kinase D1 (Rattus norvegicus)"
"Peer2.0.1.fasta019486-RA","RPL31"," 60S ribosomal protein L31 (Marmota monax)"
"Peer2.0.1.fasta019487-RA","RPL31"," 60S ribosomal protein L31 (Marmota monax)"
"Peer2.0.1.fasta019488-RA","SCFD1"," Sec1 family domain-containing protein 1 (Homo sapiens)"
"Peer2.0.1.fasta019493-RA","PTGES3"," Prostaglandin E synthase 3 (Macaca fascicularis)"
"Peer2.0.1.fasta019492-RA","CAMK2A"," Calcium/calmodulin-dependent protein kinase type II subunit alpha (Homo sapiens)"
"Peer2.0.1.fasta019491-RA","SCFD1"," Sec1 family domain-containing protein 1 (Homo sapiens)"
"Peer2.0.1.fasta019490-RA","G2E3"," G2/M phase-specific E3 ubiquitin-protein ligase (Mus musculus)"
"Peer2.0.1.fasta019489-RA","G2E3"," G2/M phase-specific E3 ubiquitin-protein ligase (Mus musculus)"
"Peer2.0.1.fasta019497-RA","AP4S1"," AP-4 complex subunit sigma-1 (Bos taurus)"
"Peer2.0.1.fasta019494-RA","COCH"," Cochlin (Mus musculus)"
"Peer2.0.1.fasta019495-RA","STRN3"," Striatin-3 (Bos taurus)"
"Peer2.0.1.fasta019496-RA","TRMT1"," tRNA (guanine(26)-N(2))-dimethyltransferase (Mus musculus)"
"Peer2.0.1.fasta019500-RA","HEATR5A"," HEAT repeat-containing protein 5A (Homo sapiens)"
"Peer2.0.1.fasta019501-RA","HEATR5A"," HEAT repeat-containing protein 5A (Mus musculus)"
"Peer2.0.1.fasta019502-RA","HEATR5A"," HEAT repeat-containing protein 5A (Homo sapiens)"
"Peer2.0.1.fasta019504-RA","GPR33"," Probable G-protein coupled receptor 33 (Mus musculus)"
"Peer2.0.1.fasta019503-RA","DTD2"," D-aminoacyl-tRNA deacylase 2 (Mus musculus)"
"Peer2.0.1.fasta019505-RA","NUBPL"," Iron-sulfur protein NUBPL (Mus musculus)"
"Peer2.0.1.fasta019506-RA","NUBPL"," Iron-sulfur protein NUBPL (Mus musculus)"
"Peer2.0.1.fasta019507-RA","NUBPL"," Iron-sulfur protein NUBPL (Mus musculus)"
"Peer2.0.1.fasta019498-RA","HECTD1"," E3 ubiquitin-protein ligase HECTD1 (Mus musculus)"
"Peer2.0.1.fasta019499-RA","EFCAB5"," EF-hand calcium-binding domain-containing protein 5 (Mus musculus)"
"Peer2.0.1.fasta019508-RA","ARHGAP5"," Rho GTPase-activating protein 5 (Homo sapiens)"
"Peer2.0.1.fasta019510-RA","TRPC6"," Short transient receptor potential channel 6 (Bos taurus)"
"Peer2.0.1.fasta019509-RA","AKR1B1"," Aldo-keto reductase family 1 member B1 (Mus musculus)"
"Peer2.0.1.fasta019511-RA","AKAP6"," A-kinase anchor protein 6 (Homo sapiens)"
"Peer2.0.1.fasta019512-RA","AKAP6"," A-kinase anchor protein 6 (Rattus norvegicus)"
"Peer2.0.1.fasta019513-RA","ABCG4"," ATP-binding cassette sub-family G member 4 (Homo sapiens)"
"Peer2.0.1.fasta019514-RA","AKAP6"," A-kinase anchor protein 6 (Rattus norvegicus)"
"Peer2.0.1.fasta019515-RA","NPAS3"," Neuronal PAS domain-containing protein 3 (Homo sapiens)"
"Peer2.0.1.fasta019516-RA","NPAS3"," Neuronal PAS domain-containing protein 3 (Homo sapiens)"
"Peer2.0.1.fasta019517-RA","NPAS3"," Neuronal PAS domain-containing protein 3 (Homo sapiens)"
"Peer2.0.1.fasta019518-RA","NPAS3"," Neuronal PAS domain-containing protein 3 (Homo sapiens)"
"Peer2.0.1.fasta019519-RA","EGLN3"," Prolyl hydroxylase EGLN3 (Rattus norvegicus)"
"Peer2.0.1.fasta019520-RA","RPS26"," 40S ribosomal protein S26 (Bos taurus)"
"Peer2.0.1.fasta019522-RA","EAPP"," E2F-associated phosphoprotein (Mus musculus)"
"Peer2.0.1.fasta019521-RA","SPTSSA"," Serine palmitoyltransferase small subunit A (Homo sapiens)"
"Peer2.0.1.fasta019523-RA","SNX6"," Sorting nexin-6 (Mus musculus)"
"Peer2.0.1.fasta019525-RA","INTERFERON ALPHA (FELIS CATUS)",NA
"Peer2.0.1.fasta019524-RA","BAZ1A"," Bromodomain adjacent to zinc finger domain protein 1A (Mus musculus)"
"Peer2.0.1.fasta019528-RA","PPP2R3C"," Serine/threonine-protein phosphatase 2A regulatory subunit B'' subunit gamma (Rattus norvegicus)"
"Peer2.0.1.fasta019530-RA","PRORP"," Mitochondrial ribonuclease P catalytic subunit (Rattus norvegicus)"
"Peer2.0.1.fasta019532-RA","PSMA6"," Proteasome subunit alpha type-6 (Bos taurus)"
"Peer2.0.1.fasta019531-RA","PRORP"," Mitochondrial ribonuclease P catalytic subunit (Rattus norvegicus)"
"Peer2.0.1.fasta019533-RA","NFKBIA"," NF-kappa-B inhibitor alpha (Homo sapiens)"
"Peer2.0.1.fasta019534-RA","RPS18"," 40S ribosomal protein S18 (Capra hircus)"
"Peer2.0.1.fasta019526-RA","SRP54"," Signal recognition particle 54 kDa protein (Bos taurus)"
"Peer2.0.1.fasta019527-RA","FAM177A1"," Protein FAM177A1 (Mus musculus)"
"Peer2.0.1.fasta019529-RA","FAM177A1"," Protein FAM177A1 (Mus musculus)"
"Peer2.0.1.fasta019536-RA","INSM2"," Insulinoma-associated protein 2 (Mus musculus)"
"Peer2.0.1.fasta019535-RA","ALDOA"," Fructose-bisphosphate aldolase A (Oryctolagus cuniculus)"
"Peer2.0.1.fasta019537-RA","RALGAPA1"," Ral GTPase-activating protein subunit alpha-1 (Homo sapiens)"
"Peer2.0.1.fasta019538-RA","RALGAPA1"," Ral GTPase-activating protein subunit alpha-1 (Homo sapiens)"
"Peer2.0.1.fasta019539-RA","BRMS1L"," Breast cancer metastasis-suppressor 1-like protein (Mus musculus)"
"Peer2.0.1.fasta019541-RA","BRMS1L"," Breast cancer metastasis-suppressor 1-like protein (Mus musculus)"
"Peer2.0.1.fasta019540-RA","BRMS1L"," Breast cancer metastasis-suppressor 1-like protein (Mus musculus)"
"Peer2.0.1.fasta019542-RA","CCT4"," T-complex protein 1 subunit delta (Bos taurus)"
"Peer2.0.1.fasta019543-RA","TTLL6"," Tubulin polyglutamylase TTLL6 (Homo sapiens)"
"Peer2.0.1.fasta019544-RA","MBIP"," MAP3K12-binding inhibitory protein 1 (Mus musculus)"
"Peer2.0.1.fasta019545-RA","NKX2-1"," Homeobox protein Nkx-2.1 (Rattus norvegicus)"
"Peer2.0.1.fasta019548-RA","SLC25A21"," Mitochondrial 2-oxodicarboxylate carrier (Rattus norvegicus)"
"Peer2.0.1.fasta019547-RA","PAX9"," Paired box protein Pax-9 (Mus musculus)"
"Peer2.0.1.fasta019546-RA","NKX2-8"," Homeobox protein Nkx-2.8 (Mus musculus)"
"Peer2.0.1.fasta019549-RA","RPL15"," 60S ribosomal protein L15 (Mus musculus)"
"Peer2.0.1.fasta019551-RA","MIPOL1"," Mirror-image polydactyly gene 1 protein homolog (Mus musculus)"
"Peer2.0.1.fasta019550-RA",NA,NA
"Peer2.0.1.fasta019552-RA","TARDBP"," TAR DNA-binding protein 43 (Homo sapiens)"
"Peer2.0.1.fasta019554-RA","UBE2NL"," Putative ubiquitin-conjugating enzyme E2 N-like (Homo sapiens)"
"Peer2.0.1.fasta019555-RA","SSTR1"," Somatostatin receptor type 1 (Mus musculus)"
"Peer2.0.1.fasta019553-RA","TTC6"," Tetratricopeptide repeat protein 6 (Homo sapiens)"
"Peer2.0.1.fasta019556-RA","SEC23A"," Protein transport protein Sec23A (Bos taurus)"
"Peer2.0.1.fasta019561-RA","MIA2"," Melanoma inhibitory activity protein 2 (Mus musculus)"
"Peer2.0.1.fasta019562-RA","MIA2"," Melanoma inhibitory activity protein 2 (Mus musculus)"
"Peer2.0.1.fasta019560-RA","PNN"," Pinin (Mus musculus)"
"Peer2.0.1.fasta019557-RA","SEC23A"," Protein transport protein Sec23A (Bos taurus)"
"Peer2.0.1.fasta019558-RA","GEMIN2"," Gem-associated protein 2 (Homo sapiens)"
"Peer2.0.1.fasta019559-RA","TRAPPC6B"," Trafficking protein particle complex subunit 6B (Homo sapiens)"
"Peer2.0.1.fasta019564-RA","FBXO33"," F-box only protein 33 (Mus musculus)"
"Peer2.0.1.fasta019563-RA","MIA2"," Melanoma inhibitory activity protein 2 (Mus musculus)"
"Peer2.0.1.fasta019565-RA","HMGB2"," High mobility group protein B2 (Sus scrofa)"
"Peer2.0.1.fasta019566-RA","SVIL"," Supervillin (Homo sapiens)"
"Peer2.0.1.fasta019567-RA","ACO1"," Cytoplasmic aconitate hydratase (Bos taurus)"
"Peer2.0.1.fasta019568-RA","LRFN5"," Leucine-rich repeat and fibronectin type-III domain-containing protein 5 (Mus musculus)"
"Peer2.0.1.fasta019569-RA","TGFBR1"," TGF-beta receptor type-1 (Homo sapiens)"
"Peer2.0.1.fasta019570-RA","KPNA2"," Importin subunit alpha-1 (Homo sapiens)"
"Peer2.0.1.fasta019572-RA","KPNA2"," Importin subunit alpha-1 (Homo sapiens)"
"Peer2.0.1.fasta019571-RA","EIF1B"," Eukaryotic translation initiation factor 1b (Macaca fascicularis)"
"Peer2.0.1.fasta019573-RA","TGFBR1"," TGF-beta receptor type-1 (Homo sapiens)"
"Peer2.0.1.fasta019574-RA","FSCB"," Fibrous sheath CABYR-binding protein (Mus musculus)"
"Peer2.0.1.fasta019575-RA","C14ORF28"," Uncharacterized protein C14orf28 (Homo sapiens)"
"Peer2.0.1.fasta019576-RA","KLHL28"," Kelch-like protein 28 (Homo sapiens)"
"Peer2.0.1.fasta019578-RA","SUSD1"," Sushi domain-containing protein 1 (Homo sapiens)"
"Peer2.0.1.fasta019579-RA","PRPF39"," Pre-mRNA-processing factor 39 (Homo sapiens)"
"Peer2.0.1.fasta019580-RA","FKBP3"," Peptidyl-prolyl cis-trans isomerase FKBP3 (Bos taurus)"
"Peer2.0.1.fasta019581-RA","FANCM"," Fanconi anemia group M protein homolog (Mus musculus)"
"Peer2.0.1.fasta019583-RA","MIS18BP1"," Mis18-binding protein 1 (Mus musculus)"
"Peer2.0.1.fasta019582-RA","FANCM"," Fanconi anemia group M protein homolog (Mus musculus)"
"Peer2.0.1.fasta019584-RA",NA,NA
"Peer2.0.1.fasta019577-RA","TOGARAM1"," TOG array regulator of axonemal microtubules protein 1 (Mus musculus)"
"Peer2.0.1.fasta019585-RA","TMEM169"," Transmembrane protein 169 (Bos taurus)"
"Peer2.0.1.fasta019586-RA","RPL10"," 60S ribosomal protein L10 (Ovis aries)"
"Peer2.0.1.fasta019587-RA","RPL26L1"," 60S ribosomal protein L26-like 1 (Homo sapiens)"
"Peer2.0.1.fasta019588-RA","FTL2"," Ferritin light chain 2 (Mus musculus)"
"Peer2.0.1.fasta019589-RA","MDGA2"," MAM domain-containing glycosylphosphatidylinositol anchor protein 2 (Homo sapiens)"
"Peer2.0.1.fasta019590-RA","MDGA2"," MAM domain-containing glycosylphosphatidylinositol anchor protein 2 (Homo sapiens)"
"Peer2.0.1.fasta019591-RA","MDGA2"," MAM domain-containing glycosylphosphatidylinositol anchor protein 2 (Homo sapiens)"
"Peer2.0.1.fasta019592-RA","RPL23A"," 60S ribosomal protein L23a (Rattus norvegicus)"
"Peer2.0.1.fasta019593-RA","PPIA"," Peptidyl-prolyl cis-trans isomerase A (Gorilla gorilla gorilla)"
"Peer2.0.1.fasta019594-RA","H2AZ1"," Histone H2A.Z (Pongo abelii)"
"Peer2.0.1.fasta019595-RA","RPL7A"," 60S ribosomal protein L7a (Mus musculus)"
"Peer2.0.1.fasta019596-RA","IL9R"," Interleukin-9 receptor (Homo sapiens)"
